"","term","estimate","std.error","statistic","p.value","variable","BH"
"175","DietOliveOil",0.455130292195274,0.101986486855136,4.46265290853437,3.70247017494752e-05,"C18HexosylCer",0.000136951584965801
"176","DietPalmOil",0.618816329995222,0.101986486855136,6.0676306153599,9.9839859809593e-08,"C18HexosylCer",7.20645250943806e-07
"177","SEXM",0.136327557580544,0.0517228219888884,2.63573317035624,0.0107106820848226,"C20.1HexosylCer",0.0180211650170268
"178","DietCoconutOil",0.604765764479924,0.118114076101718,5.12018367699975,3.5121288342727e-06,"C20.1HexosylCer",1.63266529593217e-05
"179","DietFishOil",-0.267523450633357,0.118114076101718,-2.2649582459839,0.0272022555137248,"C20.1HexosylCer",0.0410137033193661
"180","DietKetogenic",0.210382334622601,0.118114076101718,1.78117919189769,0.0800307678334108,"C20.1HexosylCer",0.108816538081792
"181","DietLard",0.511829198148867,0.118114076101718,4.33334632959484,5.79505812603647e-05,"C20.1HexosylCer",0.000205515463438819
"182","DietMilkFat",0.747761687702158,0.118114076101718,6.33084313387165,3.62974287692633e-08,"C20.1HexosylCer",3.04544280405527e-07
"183","DietOliveOil",0.662995413558901,0.118114076101718,5.61317867811062,5.61363715871578e-07,"C20.1HexosylCer",3.32946755620384e-06
"184","DietPalmOil",0.610591601162147,0.118114076101718,5.16950749067633,2.93008714170325e-06,"C20.1HexosylCer",1.39993052325822e-05
"185","SEXM",0.327563765189827,0.0328694621968066,9.96559551928572,2.9253781122946e-14,"C20HexosylCer",9.14845518753948e-13
"186","DietCoconutOil",0.257823696085611,0.0750606020717549,3.43487380822154,0.00109109406383814,"C20HexosylCer",0.00270026156805987
"187","DietFishOil",0.0551604643179377,0.0750606020717549,0.734879054996209,0.465324185345016,"C20HexosylCer",0.531799068965732
"188","DietKetogenic",0.382540506863705,0.0750606020717549,5.09642204172585,3.83171068372881e-06,"C20HexosylCer",1.75747796693695e-05
"189","DietLard",0.252731663774739,0.0750606020717549,3.36703485982083,0.00134218573218262,"C20HexosylCer",0.00327455242461575
"190","DietMilkFat",0.167635115318576,0.0750606020717549,2.23333027835727,0.0293326702896425,"C20HexosylCer",0.0434932697398148
"191","DietOliveOil",0.100788328464109,0.0750606020717549,1.34275939284046,0.184493182198385,"C20HexosylCer",0.226663052415159
"192","DietPalmOil",0.22790538953396,0.0750606020717549,3.03628512486606,0.00356207267159765,"C20HexosylCer",0.00708296531230979
"193","SEXM",0.562602525519765,0.0389206341904373,14.4551222564095,4.7776322401432e-21,"C22.1HexosylCer",3.28701098121852e-19
"194","DietCoconutOil",0.308241340535005,0.0888790396951667,3.46809935832112,0.00098503202447234,"C22.1HexosylCer",0.00245544214796004
"195","DietFishOil",0.0590386489217325,0.0888790396951667,0.664258402478477,0.509112731008488,"C22.1HexosylCer",0.574212391694819
"196","DietKetogenic",-0.384800499488856,0.0888790396951668,-4.32948534107285,5.87258981444587e-05,"C22.1HexosylCer",0.000206139887364223
